0.1 -1.2129201045568851 -0.7997406254094128 -1.1956648859937509 -1.134420703030001 -1.2129201045447768
0.11 -1.2060516875050062 -0.8808508109973776 -1.1894696839132972 -1.1327638742886466 -1.2060516874365332
0.12 -1.1999088594782514 -0.9593544094827516 -1.1840422185942707 -1.1317216194364434 -1.1999088593119853
0.13 -1.1945172333842846 -1.0397265195232672 -1.1794046804409304 -1.1313083043695396 -1.1945172333253768
0.14 -1.1899029691082976 -1.118620026165976 -1.175578900533085 -1.1315381888086515 -1.1899029690935914
0.15 -1.1860925479277808 -1.1999079519676332 -1.1725861446337011 -1.1324252014916243 -1.1860925478929967
0.16 -1.1831124910134103 -1.2803173957337084 -1.1704468821482554 -1.133983049338609 -1.1831124909596469
0.17 -1.1809890199678619 -1.360835823606537 -1.169180516289036 -1.136224969564672 -1.180989019941507
0.18 -1.1797476602287178 -1.4400308656052925 -1.1688051423164074 -1.139163698218045 -1.1797476602095767
0.19 -1.179412791879239 -1.5199216620097507 -1.1693372488434286 -1.1428113304344132 -1.1794127918587882
0.2 -1.1800071568506256 -1.6000000086934365 -1.1707914178542551 -1.1471791655319956 -1.1800071568402493
0.21 -1.1815513363863928 -1.6797295106655437 -1.1731800568996165 -1.1522776879501477 -1.1815513363537877
0.22 -1.1840632175314665 -1.760023808199337 -1.1765131103887778 -1.1581162352334138 -1.184063217512052
0.23 -1.1875574717163313 -1.5445483683127375 -1.1807977758068642 -1.1647030077417806 -1.1875574717077224
0.24 -1.1920450715549376 -1.433516016022453 -1.1860383039993725 -1.1720448607156884 -1.1920450714819626
0.25 -1.1975328731091417 -1.3749999999999978 -1.1922357525336458 -1.1801470641291816 -1.197532873100733
0.26 -1.204023289589596 -1.3389421974861437 -1.1993879116421784 -1.1890132857160327 -1.2040232895337442
0.27 -1.2115140785497123 -1.3160262642317204 -1.2074891139726325 -1.1986452931214053 -1.2115140785406229
0.28 -1.2199982582554942 -1.301916848035312 -1.216530318079931 -1.2090428925418297 -1.2199982582513498
0.29 -1.229464160658667 -1.2941873140447777 -1.2264990622738727 -1.2202038121239644 -1.2294641606421548
